All-Genes	Product	Pathways of gene	Accession-1
bfpB	lipoprotein		E2348_P1_005
bfpC	hypothetical protein		E2348_P1_006
bfpD	nucleotide binding protein		E2348_P1_008
bfpE	transmembrane protein		E2348_P1_009
bfpF	nucleotide binding protein		E2348_P1_010
bfpG	lipoprotein		E2348_P1_004
bfpH	lipoprotein		E2348_P1_012
bfpI	prepilin		E2348_P1_013
bfpJ	prepilin		E2348_P1_014
bfpK	prepilin		E2348_P1_015
bfpL	inner membrane protein		E2348_P1_016
bfpP	prepilin peptidase		E2348_P1_011
bfpU	periplasmic protein		E2348_P1_007
bfr	bacterioferritin		E2348C_3586
bglA	6-phospho-beta-glucosidase	chitobiose degradation	E2348C_3154
bglB	cryptic phospho-beta-glucosidase B		E2348C_4031
bglF	PTS system beta-glucoside-specific transporter subunit IIABC		E2348C_4032
bglG	transcriptional antiterminator BglG		E2348C_4033
bglH	"carbohydrate-specific outer membrane porin, cryptic"		E2348C_4030
bglJ	DNA-binding transcriptional activator BglJ		E2348C_4665
bglX	"beta-D-glucoside glucohydrolase, periplasmic"		E2348C_2279
bhsA	outer membrane protein that influences biofilm formation		E2348C_1204
bioA	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	"biotin biosynthesis from 8-amino-7-oxononanoate I // ""biotin biosynthesis from 8-amino-7-oxononanoate II"""	E2348C_0726
bioB	biotin synthase	"biotin biosynthesis from 8-amino-7-oxononanoate I // ""biotin biosynthesis from 8-amino-7-oxononanoate II"""	E2348C_0727
bioC	biotin biosynthesis protein BioC		E2348C_0729
bioD	dithiobiotin synthetase	"biotin biosynthesis from 8-amino-7-oxononanoate I // ""biotin biosynthesis from 8-amino-7-oxononanoate II"""	E2348C_0730
bioF	8-amino-7-oxononanoate synthase		E2348C_0728
bioH	carboxylesterase BioH		E2348C_3657
birA	biotin--protein ligase	biotin-carboxyl carrier protein assembly	E2348C_4285
blc	outer membrane lipoprotein Blc		E2348C_4477
blr	beta-lactam resistance membrane protein Blr		E2348C_1711
bolA	transcriptional regulator BolA		E2348C_0370
brnQ	branched chain amino acid transporter (LIV-II)		E2348C_0336
bssR	biofilm formation regulatory protein BssR		E2348C_0787
bssS	biofilm formation regulatory protein BssS		E2348C_1150
btuB	vitamin B12/cobalamin outer membrane transporter		E2348C_4282
btuC	vtamin B12-transporter permease		E2348C_1796
btuD	vitamin B12-transporter ATPase		E2348C_1794
btuE	glutathione peroxidase	glutathione redox reactions I	E2348C_1795
btuF	vitamin B12-transporter protein BtuF		E2348C_0165
btuR	"cob(I)yrinic acid a,c-diamide adenosyltransferase"	"adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide II // ""adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide I"" // ""adenosylcobalamin salvage from cobinamide I"" // ""adenosylcobalamin salvage from cobalamin"""	E2348C_1460
cadA	lysine decarboxylase 1	lysine degradation I	E2348C_4458
cadB	lysine/cadaverine antiporter		E2348C_4459
caiA	crotonobetainyl-CoA dehydrogenase	L-carnitine degradation I	E2348C_0040
caiB	crotonobetainyl-CoA:carnitine CoA-transferase	L-carnitine degradation I	E2348C_0039
caiC	crotonobetaine/carnitine-CoA ligase	L-carnitine degradation I	E2348C_0038
caiD	carnitinyl-CoA dehydratase	L-carnitine degradation I	E2348C_0037
caiE	carnitine operon protein CaiE		E2348C_0036
caiF	DNA-binding transcriptional activator CaiF		E2348C_0035
caiT	L-carnitine/gamma-butyrobetaine antiporter		E2348C_0041
can	carbonic anhydrase	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	E2348C_0129
carA	carbamoyl phosphate synthase small subunit	"superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis // ""superpathway of histidine, purine, and pyrimidine biosynthesis"" // ""superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis"" // ""UMP biosynthesis"" // ""arginine biosynthesis II (acetyl cycle)"" // ""arginine biosynthesis IV (archaebacteria)"" // ""arginine biosynthesis I (via L-ornithine)"" // ""glutamine degradation I"""	E2348C_0032
carB	carbamoyl phosphate synthase large subunit	"superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis // ""superpathway of histidine, purine, and pyrimidine biosynthesis"" // ""superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis"" // ""UMP biosynthesis"" // ""arginine biosynthesis II (acetyl cycle)"" // ""arginine biosynthesis IV (archaebacteria)"" // ""arginine biosynthesis I (via L-ornithine)"" // ""glutamine degradation I"""	E2348C_0033
cbl	transcriptional regulator Cbl		E2348C_2121
cbpA	curved DNA-binding protein CbpA		E2348C_1051
cbpM	chaperone-modulator protein CbpM		E2348C_1050
cbrA	oxidoreductase		E2348C_4000
cbrB	hypothetical protein		E2348C_4027
cca	multifunctional tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase/phosphatase	tRNA processing	E2348C_3349
ccdA	plasmid maintenance protein CcdA		E2348_P1_107
ccdB	plasmid maintenance protein CcdB		E2348_P1_106
ccmA	cytochrome c biogenesis protein CcmA		E2348C_2345
ccmB	heme exporter subunit		E2348C_2344
ccmC	heme exporter protein C; membrane component of ABC superfamily		E2348C_2343
ccmD	cytochrome c biogenesis protein CcmD		E2348C_2342
ccmE	cytochrome c-type biogenesis protein CcmE		E2348C_2341
ccmF	"heme lyase, CcmF subunit"		E2348C_2340
ccmG	periplasmic thioredoxin CcmG of cytochrome c-type biogenesis		E2348C_2339
ccmH	"heme lyase, CcmH subunit"		E2348C_2338
cdaR	carbohydrate diacid transcriptional activator CdaR		E2348C_0169
cdd	cytidine deaminase	"superpathway of pyrimidine ribonucleosides degradation // ""pyrimidine ribonucleosides salvage I"" // ""pyrimidine ribonucleosides degradation"" // ""superpathway of pyrimidine deoxyribonucleoside salvage"" // ""superpathway of pyrimidine deoxyribonucleosides degradation"" // ""pyrimidine deoxyribonucleosides salvage"" // ""pyrimidine deoxyribonucleosides degradation"""	E2348C_2289
cdh	CDP-diacylglycerol pyrophosphatase		E2348C_4222
cdsA	CDP-diglyceride synthase	"phosphatidylglycerol biosynthesis I (plastidic) // ""phospholipid biosynthesis I"" // ""phosphatidylglycerol biosynthesis II (non-plastidic)"" // ""CDP-diacylglycerol biosynthesis II"" // ""CDP-diacylglycerol biosynthesis I"""	E2348C_0180
cedA	cell division modulator		E2348C_1859
cesD	chaperone CesD		E2348C_3956
cesD2	chaperone CesD2		E2348C_3933
cesF	chaperone CesF		E2348C_3943
cesT	chaperone CesT		E2348C_3940
cfa	cyclopropane-fatty-acyl-phospholipid synthase	cyclopropane fatty acid (CFA) biosynthesis	E2348C_1748
chaA	calcium/sodium:proton antiporter		E2348C_1340
chaB	cation transport regulator		E2348C_1341
chaC	regulatory protein for cation transport		E2348C_1342
chbA	"PTS system N,N'-diacetylchitobiose-specific transporter subunit IIA"		E2348C_1864
chbB	"PTS system N,N'-diacetylchitobiose-specific transporter subunit IIB"		E2348C_1866
chbC	"PTS system N,N'-diacetylchitobiose-specific transporter subunit IIC"		E2348C_1865
chbF	"cryptic phospho-beta-glucosidase, NAD(P)-binding"		E2348C_1862
chbG	hypothetical protein	chitobiose degradation	E2348C_1861
chbR	DNA-binding transcriptional regulator ChbR		E2348C_1863
cheA	chemotaxis protein CheA		E2348C_2011
cheB	chemotaxis-specific methylesterase		E2348C_2007
cheR	chemotaxis methyltransferase CheR		E2348C_2008
cheW	purine-binding chemotaxis protein		E2348C_2010
cheY	chemotaxis regulatory protein CheY		E2348C_2006
cheZ	chemotaxis regulator CheZ		E2348C_2005
cho	nucleotide excision repair endonuclease		E2348C_1869
chpA	toxin ChpA		E2348C_3049
chpR	antitoxin MazE		E2348C_3050
chuA	outer membrane heme/hemoglobin receptor		E2348C_3743
chuS	heme/hemoglobin transport protein		E2348C_3742
chuT	hemin binding protein		E2348C_3744
chuU	hemin permease		E2348C_3748
chuW	coproporphyrinogen III oxidase	"superpathway of heme biosynthesis from glycine // ""superpathay of heme biosynthesis from glutamate"" // ""superpathway of heme biosynthesis from uroporphyrinogen-III"" // ""heme biosynthesis from uroporphyrinogen-III I (aerobic)"" // ""heme biosynthesis from uroporphyrinogen-III II (anaerobic)"""	E2348C_3745
chuX	ShuX-like protein		E2348C_3746
chuY	ShuY-like protein		E2348C_3747
cirA	colicin I receptor		E2348C_2301
citA	sensory histidine kinase CitA in two-component regulatory system with CitB		E2348C_0520
citC	citrate lyase synthetase	citrate lyase activation	E2348C_0519
citD	citrate lyase subunit gamma	citrate degradation	E2348C_0518
citE	"citrate lyase, citryl-ACP lyase (beta) subunit"		E2348C_0517
citF	"citrate lyase, citrate-ACP transferase (alpha) subunit"		E2348C_0516
citG	triphosphoribosyl-dephospho-CoA synthase	citrate lyase activation	E2348C_0514
citT	citrate: succinate antiporter		E2348C_0513
citX	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase	citrate lyase activation	E2348C_0515
clcA	chloride channel protein		E2348C_0162
clcB	voltage-gated ClC-type chloride channel ClcB		E2348C_1676
clpA	ATP-dependent Clp protease ATP-binding subunit		E2348C_0879
clpB	protein disaggregation chaperone		E2348C_2866
clpP	ATP-dependent Clp protease proteolytic subunit		E2348C_0372
clpS	ATP-dependent Clp protease adaptor protein ClpS		E2348C_0878
clpX	ATP-dependent protease ATP-binding subunit ClpX		E2348C_0373
cls	cardiolipin synthetase	"cardiolipin biosynthesis I // ""phospholipid biosynthesis I"" // ""cardiolipin biosynthesis III"" // ""cardiolipin biosynthesis II"""	E2348C_1375
cmk	cytidylate kinase	"CMP phosphorylation // ""superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis"" // ""superpathway of histidine, purine, and pyrimidine biosynthesis"" // ""superpathway of pyrimidine nucleobases salvage"" // ""superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis"" // ""UTP and CTP <i>de novo</i> biosynthesis"" // ""superpathway of pyrimidine deoxyribonucleoside salvage"" // ""pyrimidine deoxyribonucleotide phosphorylation"""	E2348C_0903
cmoA	methyltransferase		E2348C_1995
cmoB	S-adenosyl-L-methionine-dependent methyltransferase		E2348C_1996
cmr	multidrug efflux system protein		E2348C_0793
cmtA	fused mannitol-specific PTS enzymes: IIB component/IIC component		E2348C_3184
cmtB	mannitol phosphotransferase subunit EIIA		E2348C_3185
cnu	oriC-binding nucleoid-associated protein		E2348C_1712
coaA	pantothenate kinase	"pantothenate and coenzyme A biosynthesis I // ""phosphopantothenate biosynthesis I"""	E2348C_4286
coaD	phosphopantetheine adenylyltransferase	"pantothenate and coenzyme A biosynthesis I // ""coenzyme A biosynthesis"""	E2348C_3882
coaE	dephospho-CoA kinase	"pantothenate and coenzyme A biosynthesis I // ""coenzyme A biosynthesis"""	E2348C_0107
cobB	NAD-dependent deacetylase		E2348C_1212
cobC	alpha-ribazole-5'-phosphate phosphatase	"adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide I // ""adenosylcobalamin salvage from cobinamide I"" // ""adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide II"""	E2348C_0538
cobS	cobalamin synthase	"adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide II // ""adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide I"" // ""adenosylcobalamin salvage from cobinamide I"""	E2348C_2125
cobT	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	"adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide II // ""adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide I"" // ""adenosylcobalamin salvage from cobinamide I"""	E2348C_2124
cobU	adenosylcobinamide kinase	"adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide II // ""adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide I"" // ""adenosylcobalamin salvage from cobinamide I"""	E2348C_2126
codA	cytosine deaminase	pyrimidine nucleobases salvage II	E2348C_0296
codB	cytosine permease		E2348C_0295
cof	thiamin pyrimidine pyrophosphate hydrolase		E2348C_0381
copA	copper exporting ATPase		E2348C_0419
copB	replication protein		E2348_P1_036
corA	magnesium/nickel/cobalt transporter CorA		E2348C_4116
cpdA	"cyclic 3',5'-adenosine monophosphate phosphodiesterase"		E2348C_3327
cpdB	"bifunctional 2',3'-cyclic nucleotide 2'-phosphodiesterase/3'-nucleotidase periplasmic protein"		E2348C_4544
cpsB	mannose-1-phosphate guanylyltransferase	GDP-mannose biosynthesis	E2348C_2191
cpsG	phosphomannomutase	GDP-mannose biosynthesis	E2348C_2190
cpxA	two-component sensor protein		E2348C_4216
cpxP	repressor CpxP		E2348C_4218
cpxR	DNA-binding transcriptional regulator CpxR		E2348C_4217
crcB	camphor resistance protein CrcB		E2348C_0525
creA	hypothetical protein		E2348C_4697
creB	DNA-binding response regulator CreB		E2348C_4698
creC	sensory histidine kinase CreC		E2348C_4699
crl	DNA-binding transcriptional regulator Crl		E2348C_0233
crp	cAMP-regulatory protein		E2348C_3607
crr	PTS system glucose-specific transporter		E2348C_2603
csdA	cysteine sulfinate desulfinase		E2348C_3077
csgA	cryptic curlin major subunit		E2348C_1133
csgB	curlin minor subunit		E2348C_1132
csgC	autoagglutination protein		E2348C_1134
csgD	DNA-binding transcriptional regulator CsgD		E2348C_1130
csgE	curli assembly protein CsgE		E2348C_1129
csgF	curli assembly protein CsgF		E2348C_1128
csgG	outer membrane lipoprotein		E2348C_1127
csiD	hypothetical protein		E2348C_2922
csiE	stationary phase inducible protein CsiE		E2348C_2818
csiR	DNA-binding transcriptional regulator CsiR		E2348C_2927
cspA	major cold shock protein		E2348C_3808
cspC	cold shock-like protein CspC		E2348C_1947
cspD	stationary phase/starvation inducible regulatory protein CspD		E2348C_0877
cspE	cold shock protein CspE		E2348C_0524
cspG	cold shock protein CspG		E2348C_0974
cspH	"stress protein, member of the CspA-family"		E2348C_0973
csrA	carbon storage regulator		E2348C_2959
csrB	"CsrA-binding sRNA, antagonizing CsrA regulation; blocks the CsrA binding of glgC mRNA"		E2348C_ncR45
csrC	"CsrC sRNA sequesters CsrA, a carbon fluxregulator; also affects biofilms and motilty"		E2348C_ncR67
csrD	regulatory protein CsrD		E2348C_3523
cstA	carbon starvation protein		E2348C_0500
cueO	multicopper oxidase		E2348C_0126
cueR	DNA-binding transcriptional regulator CueR		E2348C_0422
cusA	"copper/silver efflux system, membrane component"		E2348C_0475
cusB	copper/silver efflux system membrane fusion protein CusB		E2348C_0474
cusC	copper/silver efflux system outer membrane protein CusC		E2348C_0472
cusF	copper-binding protein		E2348C_0473
cusR	DNA-binding transcriptional activator CusR		E2348C_0471
cusS	sensor kinase CusS		E2348C_0470
cutA	divalent-cation tolerance protein CutA		E2348C_4463
cutC	copper homeostasis protein CutC		E2348C_1999
cvpA	colicin V production protein		E2348C_2453
cvrA	potassium/proton antiporter		E2348C_1310
cyaA	adenylate cyclase		E2348C_4104
cyaY	frataxin-like protein		E2348C_4105
cybB	cytochrome b561		E2348C_1555
cybC	cytochrome b562		E2348C_4562
cycA	D-alanine/D-serine/glycine permease		E2348C_4539
cydA	"cytochrome d terminal oxidase, subunit I"	"succinate to cytochrome <i>bd</i> oxidase electron transfer // ""NADH to cytochrome <i>bd</i> oxidase electron transfer"""	E2348C_0616
cydB	"cytochrome d terminal oxidase, subunit II"	"succinate to cytochrome <i>bd</i> oxidase electron transfer // ""NADH to cytochrome <i>bd</i> oxidase electron transfer"""	E2348C_0617
cydC	cysteine/glutathione ABC transporter membrane/ATP-binding protein		E2348C_0882
cydD	cysteine/glutathione ABC transporter membrane/ATP-binding protein		E2348C_0883
cyoA	cytochrome o ubiquinol oxidase subunit II	"proline to cytochrome <i>bo</i> oxidase electron transfer // ""succinate to cytochrome <i>bo</i> oxidase electron transfer"" // ""NADH to cytochrome <i>bo</i> oxidase electron transfer"""	E2348C_0367
cyoB	cytochrome o ubiquinol oxidase subunit I	"aerobic respiration (cytochrome c) // ""proline to cytochrome <i>bo</i> oxidase electron transfer"" // ""succinate to cytochrome <i>bo</i> oxidase electron transfer"" // ""NADH to cytochrome <i>bo</i> oxidase electron transfer"""	E2348C_0366
cyoC	cytochrome o ubiquinol oxidase subunit III	"proline to cytochrome <i>bo</i> oxidase electron transfer // ""succinate to cytochrome <i>bo</i> oxidase electron transfer"" // ""NADH to cytochrome <i>bo</i> oxidase electron transfer"""	E2348C_0365
cyoD	cytochrome o ubiquinol oxidase subunit IV	"proline to cytochrome <i>bo</i> oxidase electron transfer // ""succinate to cytochrome <i>bo</i> oxidase electron transfer"" // ""NADH to cytochrome <i>bo</i> oxidase electron transfer"""	E2348C_0364
cyoE	protoheme IX farnesyltransferase		E2348C_0363
cysA	sulfate/thiosulfate transporter subunit		E2348C_2607
cysB	transcriptional regulator CysB		E2348C_1465
cysC	adenylylsulfate kinase	"superpathway of sulfate assimilation and cysteine biosynthesis // ""sulfate reduction I (assimilatory)"" // ""sulfate activation for sulfonation"""	E2348C_3020
cysD	sulfate adenylyltransferase subunit 2	"superpathway of sulfate assimilation and cysteine biosynthesis // ""sulfate reduction I (assimilatory)"" // ""sulfate activation for sulfonation"" // ""sulfate reduction IV (dissimilatory)"" // ""selenate reduction"""	E2348C_3022
cysE	serine acetyltransferase	"superpathway of sulfate assimilation and cysteine biosynthesis // ""cysteine biosynthesis I"""	E2348C_3856
cysG	siroheme synthase	siroheme biosynthesis	E2348C_3618
